,state,x,y
0,Andhra Pradesh,-51.0,-127.0
1,Andaman and Nicobar Islands,194.0,-170.0
2,Arunachal Pradesh,212.0,118.0
3,Assam,182.0,77.0
4,Bihar,58.0,60.0
5,Chandigarh,-79.0,156.0
6,Chhattisgarh,7.0,-11.0
7,Dadra and Nagal Haveli and Daman and Diu,-153.0,-30.0
8,Delhi,-77.0,118.0
9,Goa,-139.0,-118.0
10,Gujarat,-166.0,22.0
11,Haryana,-88.0,129.0
12,Himachal Pradesh,-73.0,178.0
13,Jharkhand,46.0,25.0
14,Jammu and Kashmir,-107.0,210.0
15,Karnataka,-109.0,-135.0
16,Kerala,-100.0,-213.0
17,Ladakh,-60.0,221.0
18,Lakshadweep,-165.0,-205.0
19,Madhya Pradesh,-66.0,24.0
20,Maharashtra,-118.0,-52.0
21,Manipur,197.0,47.0
22,Meghalaya,154.0,60.0
23,Mizoram,183.0,25.0
24,Nagaland,204.0,73.0
25,Odisha,36.0,-34.0
26,Punjab,-96.0,156.0
27,Puducherry,-40.0,-186.0
28,Rajasthan,-143.0,84.0
29,Sikkim,107.0,95.0
30,Tamil Nadu,-66.0,-205.0
31,Telangana,-50.0,-78.0
32,Tripura,163.0,31.0
33,Uttar Pradesh,-18.0,85.0
34,Uttarakhand,-41.0,142.0
35,West Bengal,96.0,9.0
